Date,Station,Entries
3/23/2023,Judiciary Square,214.0
3/23/2023,Vienna,2046.0
3/23/2023,Tysons,397.0
3/23/2023,West Falls Church,214.0
3/23/2023,King St-Old Town,418.0
3/23/2023,Forest Glen,295.0
3/22/2023,Georgia Ave-Petworth,4.0
3/22/2023,Suitland,5.0
3/22/2023,Wheaton,4.0
3/22/2023,Potomac Ave,4.0
3/21/2023,Columbia Heights,14.0
3/21/2023,McLean,0.0
3/21/2023,Pentagon City,3.0
3/22/2023,Dunn Loring,29.0
3/24/2023,Anacostia,507.0
3/24/2023,Downtown Largo,298.0
3/24/2023,Dunn Loring,507.0
3/24/2023,King St-Old Town,877.0
3/24/2023,East Falls Church,132.0
3/24/2023,Farragut North,1210.0
3/24/2023,Huntington,359.0
3/26/2023,Vienna,5017.0
3/26/2023,Rhode Island Ave,979.0
3/26/2023,Gallery Place,2460.0
3/26/2023,Wheaton,842.0
3/26/2023,Morgan Boulevard,135.0
3/26/2023,Medical Center,398.0
3/25/2023,Columbia Heights,1578.0
3/25/2023,Crystal City,1863.0
3/25/2023,Ronald Reagan Washington National Airport,1053.0
3/25/2023,Van Dorn Street,210.0
3/25/2023,Rosslyn,699.0
3/25/2023,Waterfront,1242.0
3/25/2023,Rosslyn,1366.0
3/25/2023,Rockville,151.0
3/25/2023,Branch Ave,59.0
3/24/2023,Spring Hill,160.0
3/24/2023,Grosvenor-Strathmore,708.0
3/24/2023,Vienna,1225.0
3/24/2023,Smithsonian,282.0
3/24/2023,Van Ness-UDC,753.0
3/24/2023,Crystal City,1463.0
3/24/2023,Potomac Ave,537.0
3/24/2023,Friendship Heights,912.0
3/24/2023,Grosvenor-Strathmore,333.0
3/26/2023,Suitland,120.0
3/25/2023,Greenbelt,123.0
3/25/2023,Shady Grove,198.0
3/25/2023,King St-Old Town,1151.0
3/24/2023,Takoma,885.0
3/24/2023,Cheverly,93.0
3/24/2023,Van Ness-UDC,696.0
3/25/2023,Eastern Market,42.0
3/26/2023,Cheverly,215.0
3/25/2023,Fort Totten,752.0
3/25/2023,Farragut North,1012.0
3/25/2023,West Hyattsville,15.0
3/24/2023,Hyattsville Crossing,167.0
3/26/2023,Minnesota Ave,78.0
3/25/2023,Suitland,77.0
3/25/2023,Greensboro,173.0
3/26/2023,Van Dorn Street,46.0
3/26/2023,Union Station,1459.0
3/25/2023,Shady Grove,7.0
3/25/2023,Capitol South,908.0
3/24/2023,Takoma,7.0
3/24/2023,U Street,123.0
3/26/2023,McLean,85.0
3/26/2023,Farragut North,2835.0
3/26/2023,Dupont Circle,2672.0
3/24/2023,Spring Hill,129.0
3/26/2023,Downtown Largo,52.0
3/26/2023,Gallery Place,4052.0
3/26/2023,Crystal City,952.0
